long,lat,landslide
30.057,0.685,1
30.164,0.395,1
29.989,0.121,1
30.083,0.782,1
30.169,0.801,1
30.373,-0.354,1
29.951,0.243,1
30.124,0.434,1
34.258,1.044,1
30.191,0.712,1
29.983,-1.236,1
29.627,-1.179,1
29.982,-1.251,1
29.982,-1.251,1
30.084,0.174,1
30.084,0.174,1
34.401,1.005,1
29.985,-1.265,1
29.94,-1.399,1
29.667,-1.167,1
30.121,0.552,1
29.917,0.406,1
30.256,0.587,1
30.13,0.384,1
34.324,0.97,1
34.233,1.05,1
34.401,1.007,1
34.4,1.15,1
29.821,-0.789,1
34.294,0.975,1
29.835,-0.792,1
30.133,-1.2,1
34.236,1.012,1
30.119,-1.18,1
29.86,0.083,1
29.879,0.169,1
30.092,0.222,1
30.152,0.588,1
30.176,0.508,1
34.401,1.006,1
34.579,1.334,1
34.355,1.02,1
30.419,-0.32,1
30.35,-0.255,1
34.365,0.907,1
33.831,3.908,1
34.332,1.01,1
34.348,1.22,1
34.318,1.26,1
34.308,1.439,1
34.399,1.348,1
30.017,0.117,1
29.999,0.138,1
29.99,0.125,1
34.886,1.851,1
30.109,0.105,1
29.983,0.168,1
29.983,0.168,1
29.961,0.128,1
30.092,0.222,1
30.134,0.095,1
34.25,1.234,1
34.332,1.01,1
34.254,1.017,1
32.581,0.317,1
30.067,0.364,1
34.396,1.059,1
34.379,1.027,1
34.25,1.033,1
34.416,1.077,1
34.406,1.374,1
34.407,1.009,1
29.984,0.168,1
30.005,0.158,1
30.217,0.767,1
30.044,0.31,1
30.568,-0.267,1
30.393,-0.45,1
30.17,-0.487,1
30.17,-0.487,1
30.036,0.63,1
30.158,0.835,1
30.158,0.835,1
30.037,0.56,1
30.011,0.545,1
34.343,1.053,1
34.341,1.047,1
34.406,1.139,1
29.747,-1.247,1
29.846,-1.185,1
34.332,1.005,1
34.332,0.991,1
30.005,-1.402,1
34.321,1.015,1
34.398,1.007,1
34.398,1.02,1
34.396,1.006,1
